Registration Nr.,Age,Species,Length (cm),Width (cm),TL (cm)
NH:1934.86.1,1870,Physeter macrocephalus,17.0,7.7,NA
NH:1878.441.2,1878,Physeter macrocephalus,12.7,8.5,NA
NH:1889.165.1,1889,Physeter macrocephalus,9.8,4.2,NA
NH:1909.286.1,1909,Physeter macrocephalus,16.9,5.7,NA
NH:1909.286.2,1909,Physeter macrocephalus,16.5,4.0,NA
NH:1927.79.1,1927,Physeter macrocephalus,16.9,7.9,NA
NH:1938.167.1,1938,Physeter macrocephalus,16.9,5.2,NA
NH:1938.45.3,1938,Physeter macrocephalus,11.1,3.8,NA
NH:1941.27.1,1941,Physeter macrocephalus,14.0,6.6,NA
NH:1969.1.1,1969,Physeter macrocephalus,8.5,2.5,NA
NH:1969.1.2,1969,Physeter macrocephalus,6.7,3.0,NA
NH:1969.1.3,1969,Physeter macrocephalus,7.5,2.1,NA
NH:1969.1.4,1969,Physeter macrocephalus,7.4,2.4,NA
NH:1969.1.5,1969,Physeter macrocephalus,7.9,2.5,NA
NH:1969.1.6,1969,Physeter macrocephalus,7.5,2.4,NA
NH:1979.253.1,1979,Physeter macrocephalus,17.6,7.9,NA
PM3,2016,Physeter macrocephalus,9.9,2.2,960
PM7,2016,Physeter macrocephalus,8.5,2.9,970
PM8,2016,Physeter macrocephalus,9.0,1.7,1150
