source_type;source;registration_number;genus;species;length;width;average;year;older_than;notes
measured;NMINH;NH:1878.441.2;Physeter;macrocephalus;12.7;8.5;no;1878;no;Sectioned, weathered, misses enamel, Southern ocean
measured;NMINH;NH:1889.165.1;Physeter;macrocephalus;9.8;4.2;no;1889;yes;Black, scratches on backside, sticker in front
measured;NMINH;NH:1909.286;Physeter;macrocephalus;16.6;4.8;yes;1909;no;Average of 2 large teeth, slightly weathered
measured;NMINH;NH:1927.79.1;Physeter;macrocephalus;16.9;7.9;no;1927;yes;Complete, weathered (color and scratches), enamel missing
measured;NMINH;NH:1934.86.1;Physeter;macrocephalus;17;7.7;no;1934;yes;Complete, weathered surface, could be (sub)fossil
measured;NMINH;NH:1938.45.3;Physeter;macrocephalus;11.1;3.8;no;1938;yes;Antartic
measured;NMINH;NH:1938.167;Physeter;macrocephalus;16.9;5.2;no;1870;no;Complete
measured;NMINH;NH:1941.27.1;Physeter;macrocephalus;14;6.6;no;1939;no;Complete
measured;NMINH;NH:1969.1;Physeter;macrocephalus;7.8;2.5;yes;1968;no;Average of 6 teeth, slightly damaged or missing tips
measured;NMINH;NH:1979.253;Physeter;macrocephalus;17.6;7.9;no;1979;yes;Complete
measured;NMINH;NH:2008.85.135;Physeter;macrocephalus;9.3;2.6;yes;2008;yes;Average of 2 teeth, one very curved and sectioned, one complete (might be nr 2008.85.36 in other database)
measured;NMINH;NH:2008.85.142;Physeter;macrocephalus;18.6;7.1;no;2008;yes;Complete
measured;NMINH;NH:2008.85.699.1;Physeter;macrocephalus;16.5;6.7;yes;1800;yes;Average of 2 teeth, scrimshaw
measured;UU;UU:PM.7;Physeter;macrocephalus;8.8;3.9;no;2021;no;Complete
measured;UU;UU:PM.3;Physeter;macrocephalus;9.6;2.5;no;2016;no;Complete
measured;UU;UU:PM.8;Physeter;macrocephalus;8.1;2.2;no;2016;no;Complete
literature;Boschma_1938;BO:1;Physeter;macrocephalus;10.3;3.4;yes;1889;yes;Double tooth (so 2 teeth)
literature;Boschma_1938;BO:2;Physeter;macrocephalus;9.1;3.6;no;1889;yes;Possibly double tooth
literature;Gibbs_2001;GI:1;Physeter;macrocephalus;8.2;NA;no;1996;no;NA
